brand,model,year,mileage,fuel,power_ps,price
Volkswagen,Passat Variant,2022,53348,Benzin,218,239401
Mercedes-Benz,GLA 200,2020,44062,Benzin,163,28800
Kia,K4 Spirit,2026,10,Benzin,150,355821
BMW,320 320,2022,55200,Benzin,184,367801
Opel,Mokka-E Elegance,2022,25100,Elektro,136,169901
Volkswagen,Beetle Club,2015,73569,Benzin,105,12399
Mercedes-Benz,C 200,2022,40098,Diesel,163,287901
Mazda,6 Exclusive-Line,2019,157540,Diesel,150,124501
Volkswagen,Beetle Club,2015,73569,Benzin,105,12399
Mercedes-Benz,C 200,2022,40098,Diesel,163,287901
Volkswagen,Arteon Shooting,2022,110415,Diesel,200,249901
Audi,Q5 35,2022,76917,Diesel,163,307901
Ford,Kuga 1.5,2024,24671,Benzin,150,242401
Mercedes-Benz,GLC 43,2020,83644,Benzin,390,39700
Ford,Puma ST-Line,2020,26525,Benzin,155,18350
Skoda,Elroq 50,,,Elektro,170,316701
MG,MG4 125KW,2025,5,Elektro,170,199701
Volvo,XC40 Inscription,2021,82470,Benzin,211,249001
MG,MG3 1.5,2031,22150,Benzin,194,169901
Skoda,Enyaq Coupe,2022,52400,Elektro,299,347801
Volkswagen,Tiguan 2.0,2021,65626,Diesel,150,267351
Skoda,Kamiq Selection,2025,5,Benzin,150,269991
Hyundai,i40 cw,2017,109500,Benzin,165,13990
Audi,Q7 55,2023,63700,Benzin,381,618801
Audi,Q4 e-tron,2025,8100,Elektro,286,461491
Ford,Ranger Wildtrak,2022,53770,Diesel,212,339001
BMW,X4 xDrive,2017,65302,Diesel,258,29900
Hyundai,i20 Select,2019,51561,Benzin,101,9999
MG,MG4 125KW,2025,5,Elektro,170,209501
Skoda,Scala Essence,2025,100,Benzin,95,199901
Mercedes-Benz,AMG GT,2023,50000,Benzin,843,1299001
Mazda,MX-5 SKYACTIV-G,2017,92666,Benzin,160,18990
Renault,Megane E-Tech,2022,23547,Elektro,131,174901
Toyota,Corolla Cross,2025,1011,Benzin,178,398981
Volkswagen,T-Roc 1.5,2025,4308,Benzin,150,298301
Mercedes-Benz,E 400,2020,40662,Diesel,340,39990
BMW,420 i,2025,3300,Benzin,184,434901
CUPRA,Formentor 1.5,2022,29262,Benzin,150,258801
BMW,220 Gran,2019,104114,Benzin,192,16880
Opel,Corsa 1.4,2019,65400,Benzin,101,10500
Jeep,Compass Jeep,2021,38000,Benzin,150,217501
MG,MG5 COMFORT,2025,5,Elektro,156,249701
Skoda,Octavia Combi,2022,46800,Diesel,200,299991
Volkswagen,T-Roc Active,2021,35733,Benzin,110,194881
Audi,Q4 e-tron,2022,59525,Elektro,204,275801
Dacia,Dokker 1.5,2019,81993,Diesel,95,13790
Toyota,Corolla TS,2022,82354,Benzin,184,249801
Mercedes-Benz,C 180,2010,119000,Benzin,156,8880
Dacia,Dokker 1.5,2019,81993,Diesel,95,13790
Toyota,Corolla TS,2022,82354,Benzin,184,249801
Renault,Espace 1.2,2024,23307,Benzin,131,32990
Mercedes-Benz,EQA 350,2024,12900,Elektro,292,339801
Hyundai,KONA Trend,2020,101562,Benzin,177,16790
Mercedes-Benz,CLA 180,2024,7308,Benzin,136,269701
Volkswagen,T7 Multivan,2024,5000,Diesel,150,49890
Dacia,Sandero Stepway,2016,115250,Benzin,90,8999
Opel,Mokka EDITION,2025,2,Benzin,136,224801
Skoda,Kodiaq 2.0,2022,51000,Diesel,150,349701
Volkswagen,Passat Variant,2022,68124,Diesel,150,239801
Land,Rover Range,2018,122651,Diesel,300,28900
Volkswagen,Tiguan Allspace,2022,68800,Benzin,150,279001
Volvo,XC90 T8,2020,76825,Benzin,392,413001
BMW,218 xDrive*ACC*7Sitze*Leder*,2017,248389,Diesel,150,11950
Hyundai,SANTA FE,2021,34260,Diesel,201,36990
Mazda,CX-5 SKYACTIV-D,2021,123868,Diesel,184,199901
Nissan,Qashqai 1.3,2019,69300,Benzin,160,17850
BMW,X3 xDrive30e,2022,99750,Benzin,292,379891
Mercedes-Benz,C 180,2010,119000,Benzin,156,8880
BMW,530 e,2020,64500,Benzin,292,33990
Skoda,Kodiaq Style,2022,76721,Diesel,200,328901
BMW,430 d,2020,72627,Diesel,258,299901
Ford,Kuga ST-Line,2024,12061,Benzin,150,251301
Volkswagen,"Golf 1,5",2025,8100,Benzin,150,264501
MINI,Cooper SE,2025,7863,Elektro,218,325141
Ford,Kuga 1.5,2020,38675,Benzin,150,20990
Mazda,CX-30 2025,2025,10,Benzin,140,289901
Hyundai,TUCSON 1.6,2021,21600,Benzin,179,264501
Ford,Tourneo Courier,2025,9621,Benzin,101,259901
Skoda,Yeti Ambition,2016,34894,Diesel,140,20980
Ford,Ranger Limited,2021,89117,Diesel,170,25900
BMW,550 e,2024,1,Benzin,489,699801
Renault,Trafic dCI,2020,86600,Diesel,120,22450
BMW,428 Gran,2014,104000,Benzin,245,17400
Fiat,Talento 2.0,2020,78311,Diesel,145,28990
Mercedes-Benz,C 220,2025,14389,Diesel,197,459001
Audi,A4 allroad,2023,48300,Benzin,265,36800
Volkswagen,Arteon SB,2021,81109,Diesel,200,27950
Renault,Clio SCe,2022,25902,Benzin,67,109801
Volkswagen,Touareg 3.0,2020,84538,Diesel,286,488801
Skoda,Octavia Combi,2022,38620,Benzin,204,234801
Audi,TT Roadster,2021,38999,Benzin,245,29900
Kia,"EV3 81,4",2026,10,Elektro,204,409801
Nissan,Qashqai N-Connecta,,5,Benzin,158,287501
Fiat,Doblo L2,2026,10,Diesel,130,278901
SEAT,Ateca Ateca,2022,91000,Diesel,150,20490
Volkswagen,Touareg 3.0,2017,44779,Diesel,204,27390
Ford,Kuga PHEV,2022,78700,Benzin,152,208901
Kia,ProCeed /,2020,74984,Benzin,204,21440
Hyundai,TUCSON Plug-in-Hybrid,2021,22205,Benzin,265,259001
Mercedes-Benz,C 180,2025,27587,Benzin,170,349901
Ford,Kuga Plug-In,2025,8713,Benzin,182,374501
Volkswagen,T-Roc Goal,2025,8100,Benzin,150,285501
Hyundai,i10 1.2,2022,33948,Benzin,84,139501
Mercedes-Benz,Vito 111,2015,299688,Diesel,114,69501
Mercedes-Benz,E 220,2020,43200,Diesel,194,32490
MG,HS Plug-In,2025,5455,Benzin,272,307401
Volkswagen,Golf 2.0,2020,82262,Diesel,150,19775
Hyundai,iX35 FIFA,2015,111300,Diesel,136,9000
Toyota,Yaris 1.0,2022,55747,Benzin,72,129491
Mercedes-Benz,GLC 220,2018,112200,Diesel,170,27880
Opel,Corsa 1.2T,2026,15,Benzin,101,169501
Skoda,Kamiq Style,1901,14900,Benzin,95,171901
Audi,A6 Lim.,2023,46600,Diesel,286,439991
Volkswagen,Tiguan Life,2022,68260,Diesel,150,268901
Volkswagen,T-Roc T-Roc,2022,55500,Benzin,150,21990
Mercedes-Benz,G 450,2025,9500,Diesel,367,1797801
BMW,X2 Sport,2023,48600,Benzin,136,249991
Mercedes-Benz,A 35,2023,38000,Benzin,306,39890
Volkswagen,T-Roc Trend,,0,Benzin,116,319401
Porsche,992 911,2024,18824,Benzin,450,1677501
Skoda,Karoq Sportline,2025,9999,Benzin,190,388501
Toyota,Corolla 1.8,2019,119781,Benzin,122,16990
Renault,Captur INTENS,2021,14446,Benzin,91,187001
Mercedes-Benz,CL 500,2012,95146,Benzin,435,41980
Volkswagen,Touareg 3.0,2018,69769,Diesel,286,37990
Mercedes-Benz,GLC 200,2024,13420,Benzin,204,504101
Peugeot,3008 GT,2024,34700,Benzin,145,259901
Volkswagen,Passat Variant,2016,202000,Diesel,120,8400
Peugeot,3008 GT,2024,34700,Benzin,145,259901
Dodge,RAM page,,20,Benzin,200,549991
BMW,520 d,2021,125400,Diesel,190,26250
Volkswagen,Golf GTI,2022,105828,Benzin,245,259801
SEAT,Arona Style,2024,13592,Benzin,110,179901
CUPRA,Ateca 4Drive,2020,78671,Benzin,300,24849
BMW,530 Touring,2022,82750,Diesel,286,427491
Mazda,CX-30 2.0,2021,40000,Benzin,122,20499
Audi,Q3 2.0,2022,56524,Diesel,150,309301
Hyundai,TUCSON 1.6,2022,59300,Benzin,265,24990
Kia,Venga 1.6,2019,35336,Benzin,125,15990
BMW,M4 Competition,2024,6299,Benzin,510,77250
Mitsubishi,Eclipse Cross,2022,60560,Benzin,188,21950
Skoda,Octavia Combi,2021,99928,Diesel,200,257491
Mercedes-Benz,GLE 53,2021,66857,Benzin,435,689901
Mercedes-Benz,A 180,2019,43999,Benzin,136,20990
Volkswagen,ID.4 Pure,2022,56100,Elektro,148,198801
BMW,420 Gran,2023,53800,Diesel,190,399501
Volkswagen,up! 1.0,2021,75948,Benzin,65,97601
Subaru,Forester 2.0D,2013,135000,Diesel,147,9950
Opel,Movano 2.2,2024,100,Diesel,140,258701
Dacia,Sandero Comfort,2022,67490,,101,11490
Volkswagen,T-Cross R-Line,2026,20,Benzin,150,309791
Mercedes-Benz,GLC 300,2024,75360,Diesel,197,499901
Volkswagen,Tiguan Cup,2014,128945,Diesel,140,15390
Mitsubishi,ASX 1.6,2018,40990,Benzin,117,15989
Skoda,Elroq 50,,,Elektro,170,316701
Volkswagen,Tiguan Allspace,2024,61981,Diesel,200,349901
SEAT,"Ateca FR,",2026,100,Benzin,150,329901
Volkswagen,Tiguan 1.5,2025,9922,Benzin,150,349001
Audi,A4 Avant,2020,94150,Benzin,204,259901
Mercedes-Benz,E 300,2022,108368,Diesel,194,288801
Nissan,"Qashqai 1,3",2024,5,Benzin,158,279101
Volvo,V60 R,2021,67346,Benzin,341,293901
Mazda,2 1.5,2023,30766,Benzin,90,16490
Skoda,Karoq 1.5,2019,63900,Benzin,150,20890
Volkswagen,Caddy Life,2024,1250,Benzin,114,269901
Audi,Q7 3.0,2016,266000,Benzin,333,199901
Mercedes-Benz,B 220,2024,26004,Diesel,190,349001
Mercedes-Benz,CLK 200,2005,187500,Benzin,163,6490
Mercedes-Benz,AMG GT,2023,6632,Benzin,843,1299001
Opel,Corsa Ultimate,2022,79300,Benzin,131,16450
BMW,X1 sDrive18d,2022,51618,Diesel,150,284401
Volkswagen,Tiguan 2.0,2022,54692,Diesel,150,29950
Hyundai,iX20 1.6,2018,99401,Benzin,125,11990
Kia,XCeed SUV,2023,39988,Benzin,160,218891
Kia,Stonic 1.0T,2025,14482,Benzin,101,204701
Volkswagen,Tiguan 2.0TSI,2016,127254,Benzin,179,19740
Opel,Insignia B,2021,34292,Benzin,230,289501
Kia,XCeed Spirit,2020,54500,Benzin,105,18580
Volkswagen,Passat R-Line,2025,9999,Diesel,150,399901
Mercedes-Benz,E 300,2019,65123,Benzin,306,275901
BMW,X1 xDRIVE,2021,46159,Benzin,220,229971
Mercedes-Benz,B 200,2019,79964,Benzin,163,19740
Opel,Crossland 1.2,2022,9842,Benzin,131,178901
Skoda,Kamiq Drive,2024,11504,Benzin,116,224901
Mercedes-Benz,CLA 200,2021,83547,Benzin,163,25850
Mercedes-Benz,CLA 200,2018,85884,Benzin,156,21990
Kia,Ceed /,2023,16313,Benzin,141,249801
Skoda,Superb Lim.,2015,92264,Benzin,179,13990
CUPRA,Formentor 1.5,2023,17352,Benzin,150,265501
Volkswagen,Tiguan Goal,2025,14700,Benzin,150,344401
BMW,320 d,2018,133469,Diesel,190,17894
Mercedes-Benz,E 220,2025,12570,Diesel,197,648801
Mercedes-Benz,GLC 300,2021,48739,Benzin,211,378801
Audi,Q5 S,2021,87680,Benzin,299,309701
Mercedes-Benz,GLE 300,2020,94848,Diesel,245,468501
Audi,Q4 e-tron,2025,12600,Elektro,286,424201
Audi,Q6 e-tron,2025,11516,Elektro,387,688661
Volkswagen,Tiguan Allspace,2019,41313,Diesel,239,329901
Skoda,Elroq 85x,2026,4900,Elektro,340,477771
Volvo,XC60 T6,2022,82683,Benzin,398,359501
Skoda,Octavia Combi,2023,17792,Benzin,204,229801
Honda,HR-V 1.5,2019,39026,Benzin,131,19990
Jeep,Compass Limited,2022,8701,Benzin,131,229001
Hyundai,i30 1.0,2025,17792,Benzin,101,196801
Volkswagen,Golf VIII,2020,81668,Benzin,218,187801
Volkswagen,Touran 1.2,2018,97717,Benzin,110,15490
Mercedes-Benz,E 200,2021,64750,Benzin,197,349891
BMW,420 i,2017,98601,Benzin,184,16800
Mercedes-Benz,E 200,2021,64750,Benzin,197,349891
Volkswagen,Passat Variant,2021,139982,Diesel,150,179401
BMW,330 AHK,2020,81027,Benzin,258,26999
Ford,Focus Cool,2001,99100,Diesel,120,132001
Ford,Tourneo Courier,2024,2577,Benzin,125,23490
Audi,Q4 e-tron,2023,28799,Elektro,204,318751
Toyota,Corolla 1.8,2024,14483,Benzin,140,269901
BMW,740 M-Sport,2016,72450,Benzin,326,36749
Opel,Corsa -e,2022,33110,Elektro,136,132801
Audi,Q5 40,2019,92750,Diesel,190,27749
BMW,220 i,2022,24273,Benzin,178,294001
CUPRA,Tavascan Endurance,2025,5000,Elektro,286,399901
Mitsubishi,Outlander 2.4,2021,75796,Benzin,224,229901
Mercedes-Benz,EQB 350,2025,17575,Elektro,292,388831
Dacia,Jogger Extreme+,2022,46860,,101,154801
BMW,120 120,2021,77100,Benzin,178,23900
Nissan,Qashqai N-Connecta,,5,Benzin,158,277701
BMW,X3 xDrive30e,2022,85494,Benzin,292,378301
Hyundai,STARIA STARIA,2024,18371,Diesel,177,387801
Mercedes-Benz,GLC 300,2021,56283,Benzin,211,337961
Alfa,Romeo Giulia,2023,24682,Benzin,280,387851
Mercedes-Benz,EQA 250,2021,40000,Elektro,190,276201
smart,forFour forfour,2018,23000,Elektro,82,8899
BMW,320 xD,2022,58991,Diesel,190,264991
BMW,530 d,2022,53900,Diesel,286,454001
Ford,Focus Turnier,2020,47553,Benzin,125,163901
Peugeot,5008 5008,2022,50921,Diesel,177,309901
MINI,Cooper S,2022,26805,Benzin,178,26950
SEAT,Tarraco Tarraco,2021,81100,Benzin,150,21490
Kia,Sportage 1.6T,2025,20066,Benzin,160,299301
SEAT,Ibiza Style,2024,6000,Benzin,110,177701
Volkswagen,Golf VIII,2022,69427,Diesel,116,188801
Mercedes-Benz,GLC 300,2021,78857,Benzin,320,419501
Volkswagen,Touareg V6,2015,366152,Diesel,262,10890
Mercedes-Benz,C 300,2022,36560,Benzin,258,449901
BMW,118 i,2022,32000,Benzin,136,24500
Hyundai,KONA Trend,2021,39970,Elektro,136,159991
Kia,Niro e-Spirit,2022,25000,Elektro,204,22980
Lada,Niva 4x4,2018,93582,Benzin,83,9980
Hyundai,KONA 2WD|AHK|LED,2018,92961,Benzin,120,10999
Mercedes-Benz,CLA 250,2022,98313,Benzin,160,227901
Toyota,Proace Verso,2022,54433,Diesel,144,319941
Peugeot,3008 Hybrid,2024,8833,Benzin,181,249001
SEAT,Ibiza Xcellence,2020,51000,Benzin,95,13990
BMW,X3 xDrive30e,2021,37900,Benzin,292,359601
Volkswagen,Golf Life,2023,6161,Diesel,116,238701
Audi,SQ8 4.0,2022,41133,Benzin,507,724501
BMW,X5 xDrive45e,2022,64999,Benzin,394,572701
Peugeot,308 Allure,2023,19600,Benzin,131,217901
Audi,Q3 S,2022,27810,Benzin,245,329701
Ford,Kuga 1.5,2017,95856,Benzin,150,13990
SEAT,Ibiza 1.6,2018,83809,Diesel,95,11590
Skoda,"Kamiq 1,0TSI",2026,5,Benzin,115,209101
Opel,Frontera GS,2025,10,Benzin,145,253041
Mercedes-Benz,EQB 300,2022,88938,Elektro,228,288501
Renault,Twingo Techno,2022,27212,Elektro,82,119501
Mazda,3 Exclusive-Line,2017,84998,Benzin,165,14790
Volkswagen,Golf VIII,2024,19500,Benzin,150,29990
Skoda,Superb 2.0,2022,114562,Diesel,150,256501
Hyundai,KONA 2WD|AHK|LED,2018,92961,Benzin,120,10999
Skoda,Superb 2.0,2022,114562,Diesel,150,256501
Audi,Q5 advanced,2023,89941,Diesel,204,335601
Mercedes-Benz,GLE 300,2020,124300,Diesel,245,409501
BMW,320 d,2022,86975,Diesel,190,269901
Audi,RS Q3,2022,17300,Benzin,400,579501
Dacia,Spring Electric,2022,21341,Elektro,45,8939
Kia,Ceed SW,2022,35504,Benzin,141,207701
Mercedes-Benz,S 500,2018,44500,Benzin,455,659901
Peugeot,Rifter Kombi,2021,93426,Diesel,131,173101
Audi,A3 Sportback,2022,47805,Benzin,204,223801
Kia,XCeed 1.6,2022,52264,Benzin,141,199501
Mercedes-Benz,CLA 200,2026,3000,Benzin,163,398301
Ford,Kuga 1.5,2018,83418,Benzin,150,13030
Audi,e-tron 50,2022,28100,Elektro,313,264501
Skoda,"Fabia PDC,Sitzhzg.,Temp.,AppConnect,Alu",2024,16896,Benzin,95,163501
Mazda,3 Homura,2025,1835,Benzin,140,245001
Skoda,Kamiq 1.0,2024,21124,Benzin,116,219801
Opel,Corsa Edition,2016,66576,Benzin,69,7980
Jeep,Compass Soundsystem,2023,6348,Benzin,131,239801
Mercedes-Benz,C 220,2018,131200,Diesel,170,24400
Audi,Q4 e-tron,2022,8920,Elektro,170,269801
Audi,A6 55,2021,33814,Benzin,340,445501
Mercedes-Benz,E 200,2024,14440,Benzin,227,42800
Infiniti,Q30 s,2017,85129,Benzin,211,17990
Audi,RS Q3,2023,53332,Benzin,400,482751
Audi,Q5 Advanced,2022,62071,Diesel,204,398901
Skoda,Kodiaq 1.5,2025,1060,Benzin,150,389891
CUPRA,Leon Leon,2023,36900,Benzin,300,27890
Audi,Q4 e-tron,2022,18682,Elektro,170,249901
Volkswagen,Tiguan 2.0,2018,111000,Diesel,190,22490
Skoda,Superb Ambition,2021,46761,Benzin,156,239701
Volkswagen,Caddy 1.4,2017,136700,Benzin,125,17990
Volkswagen,Passat Variant,2022,70715,Diesel,150,207401
Renault,Twingo TECHNO,2023,8860,Elektro,82,135001
Mercedes-Benz,EQA 250,2022,23120,Elektro,190,298901
Opel,Astra K,2022,72276,Diesel,105,134701
Mercedes-Benz,A 180,2011,83540,Diesel,109,8900
Audi,Q5 Sportback,2025,16389,Benzin,265,518751
SEAT,Arona Arona,2026,10,Benzin,150,269901
Opel,Astra 120,2019,20746,Benzin,105,11900
Opel,Astra K,2022,72276,Diesel,105,134701
Mercedes-Benz,A 180,2011,83540,Diesel,109,8900
Audi,Q5 Sportback,2025,16389,Benzin,265,518751
SEAT,Arona Arona,2026,10,Benzin,150,269901
Opel,Corsa GS,2022,43134,Benzin,101,136501
Mercedes-Benz,S 450,2018,110000,Benzin,367,45880
Jaguar,E-Pace R-Dynamic,2020,118499,Diesel,179,244801
Skoda,Superb Combi,2021,70943,Benzin,190,28890
Audi,Q2 S-Line,2023,20500,Benzin,150,269801
Opel,Crossland X,2022,63140,Diesel,120,154901
Fiat,500 1.0,2023,32000,Benzin,69,124901
Audi,Q5 40,2024,24103,Diesel,204,429901
Mazda,CX-5 2.0,2022,22828,Benzin,165,26990
Audi,A4 Avant,2023,31485,Benzin,204,299801
BMW,320 d,2019,84000,Diesel,190,19990
Mercedes-Benz,GLC 200,2022,28057,Benzin,197,399901
Bentley,Bentayga First,2016,79352,Benzin,608,84850
Dacia,Sandero Expression,,25,Benzin,101,179101
Mercedes-Benz,GLB 220,2021,95521,Diesel,190,349431
Dacia,Spring Elecrtic,,20,Elektro,101,159951
Audi,Q7 55,2021,83800,Benzin,381,438901
Volkswagen,Tiguan 1.5,2024,5523,Benzin,150,339801
Audi,A5 40,2022,116023,Diesel,204,298901
Opel,Mokka X,2024,10700,Benzin,131,213801
Audi,A3 35,2021,53800,Diesel,150,237801
Volkswagen,ID.4 Pure,2021,76580,Elektro,170,196901
Kia,Picanto 1.0,2021,31115,Benzin,67,108451
BMW,330 e,2022,54600,Benzin,184,344001
Ford,Transit Custom,2021,75797,Diesel,105,234401
Volkswagen,Touareg V6,2024,26923,Diesel,231,574441
Volkswagen,"Taigo 1,0",2022,35900,Benzin,95,169501
Hyundai,i20 1.2,2016,112280,Benzin,75,8900
BMW,118 i,2023,96658,Benzin,136,183451
Volkswagen,Tiguan Allspace,2023,44209,Diesel,200,444401
Skoda,Kodiaq 2.0,2022,44500,Diesel,200,354881
Citroen,Spacetourer Business,,0,Diesel,177,348901
MINI,Cooper S,2025,11188,Benzin,204,333951
BMW,318 DAB,2022,71643,Diesel,150,229991
Opel,Grandland GS,2024,33943,Benzin,131,214791
Opel,Zafira B,2011,168205,Benzin,116,4999
Hyundai,i30 cw,2021,56000,Benzin,160,21990
Skoda,Kamiq Monte,,15,Benzin,150,299801
Opel,Astra Elegance,2020,83500,Benzin,145,11500
Renault,Clio Evolution,,10,Benzin,91,157501
Land,Rover Range,2019,102079,Diesel,179,23500
Renault,Koleos 2.0,2022,21203,Diesel,184,282911
Mercedes-Benz,B 200,2024,11919,Benzin,163,289801
Ford,Puma 1.0,2021,59762,Benzin,125,16240
Peugeot,3008 Hybrid,2021,15614,Benzin,224,209501
Skoda,Scala 1.5,2025,13140,Benzin,150,244441
Volkswagen,Tiguan Allspace,2022,116450,Diesel,200,277491
Mercedes-Benz,E 220,2023,23059,Diesel,200,396901
BMW,X1 xDrive20d,2019,79500,Diesel,190,28980
Ford,S-Max 2.0,2018,113712,Diesel,150,18290
Mitsubishi,Outlander 2.4,2020,80795,Benzin,224,18940
Audi,A1 30,2025,5205,Benzin,116,249901
Nissan,X-Trail TEKNA+,,5,Benzin,213,408701
Mercedes-Benz,CLE 300,2025,10000,Benzin,204,599981
Volkswagen,Tiguan KEYLESS,2019,208000,Diesel,150,17900
Kia,Picanto 1.0,2015,59822,Benzin,67,6701
Mercedes-Benz,CLE 300,2025,10000,Benzin,204,599981
Volkswagen,Tiguan KEYLESS,2019,208000,Diesel,150,17900
Volkswagen,Golf GTI,2022,47551,Benzin,245,268801
Mazda,CX-5 Sports-Line,2023,39924,Diesel,184,31990
Rolls-Royce,Cullinan Black,2026,20,Benzin,600,6128801
Mercedes-Benz,B 220,2015,123900,Diesel,170,14980
Renault,Trafic Combi,2022,105200,Diesel,110,247901
Audi,A1 Sportback,2020,57489,Benzin,150,20980
Audi,Q2 1.0,2018,51296,Benzin,116,19950
Mercedes-Benz,GLC 350,2019,113994,Benzin,320,26190
Skoda,Superb Combi,2025,18910,Diesel,193,409301
Kia,XCeed 1.6,2022,29292,Benzin,141,199001
Volkswagen,Tiguan 1.5,2018,103235,Benzin,150,17450
SEAT,Ateca 2.0TSI,2019,38943,Benzin,190,26990
Audi,Q7 3.0,2018,116767,Diesel,272,42990
Skoda,Kamiq 1.0,2021,69530,Benzin,110,189811
Ford,Puma ST-Line,2020,39500,Benzin,125,15500
Lamborghini,Aventador S,2019,17500,Benzin,740,3379001
Audi,A8 50,2022,62834,Diesel,286,614801
Toyota,"Auris 1,4-l-D-4D",2010,218250,Diesel,90,3490
Volkswagen,Golf Life,2024,20911,Benzin,131,248701
Mercedes-Benz,E 300,2024,27278,Diesel,197,549001
Hyundai,TUCSON 1.6,2017,108509,Benzin,177,18950
Volkswagen,Tiguan 1.5,2023,26853,Benzin,150,277801
Volkswagen,Golf VIII,2023,27008,Benzin,300,329901
Volkswagen,Tiguan Allspace,2023,35045,Diesel,200,352901
Volkswagen,T-Roc R-Line,2022,31166,Benzin,150,248001
Audi,A3 allstreet,2025,6790,Benzin,150,329901
MINI,Aceman Classic,2024,7852,Elektro,184,282781
Mitsubishi,L200 Top,2022,150000,Diesel,150,26900
Volkswagen,Touran 1.5,2021,94235,Benzin,150,24750
Audi,e-tron 55,2019,70000,Elektro,408,27900
Mercedes-Benz,CLA 200,2021,58750,Diesel,150,257491
Hyundai,KONA Prime,2024,13870,Elektro,218,328701
Dacia,Sandero TCe,2021,38831,Benzin,91,14888
Renault,Clio VI,,20,Benzin,158,289001
BMW,760 Sky,2024,58713,Benzin,571,999991
Hyundai,SANTA FE,2024,29413,Benzin,230,374851
Mercedes-Benz,E 300,2025,7610,Benzin,204,499901
Audi,A3 1.8,2015,48700,Benzin,179,18900
Volkswagen,Passat Variant,2025,6100,Benzin,272,418801
Mazda,3 2.0,2015,41373,Benzin,120,13790
BMW,X3 M,2020,82219,Benzin,510,48900
Dacia,Duster II,2022,50112,,101,13490
Volkswagen,Tiguan 2.0,2021,124750,Diesel,150,259891
BMW,X4 M,2024,45827,Diesel,340,55880
BMW,i4 eDrive40,2023,15900,Elektro,340,43900
Renault,Captur Energy,2018,94200,Benzin,118,12290
Hyundai,TUCSON 1.6,2025,5,Benzin,239,309991
Volkswagen,T6 Multivan,2019,80000,Diesel,199,34880
Mitsubishi,Eclipse Cross,2024,4487,Benzin,188,259001
Ford,Kuga Titanium,2022,59768,Benzin,190,219301
Audi,S3 2.0,2017,88000,Benzin,310,29200
Volkswagen,up! 1.0+ACTIVE+KLIMA+KAMERA+GRA+PDC+,2023,8490,Benzin,65,148701
Kia,Sportage 1.6,2020,208000,Benzin,177,129501
Mercedes-Benz,GLB 200,2021,90896,Benzin,163,277961
Citroen,Spacetourer Spacetourer,,0,Diesel,177,419901
BMW,330 H,2022,54861,Benzin,292,289991
Audi,Q5 50,2022,53000,Benzin,299,318881
Ford,EcoSport 1.0,2019,48831,Benzin,125,11960
Opel,Corsa F,2025,900,Benzin,101,19999
Volkswagen,Golf VIII,2020,38390,Benzin,131,18590
Mercedes-Benz,CLA 45,2025,9130,Benzin,421,699001
Audi,A6 allroad,2017,50000,Diesel,218,27880
BMW,740 d,2023,69649,Diesel,299,887951
Skoda,Octavia RS,2021,143389,Diesel,200,239001
Volkswagen,T-Roc 2.0,2023,26500,Benzin,190,329991
Kia,Sportage Spirit,2012,159500,Benzin,163,11680
Kia,Sportage SPORTAGE,2024,16900,Diesel,136,339801
Audi,Q5 advanced,2022,58750,Diesel,204,378881
Audi,Q3 35,2024,33202,Benzin,150,329001
Hyundai,"TUCSON 1,6T",2025,5,Benzin,239,387001
Skoda,Enyaq 80,2023,51800,Elektro,204,306951
Skoda,Superb Combi,2022,109300,Diesel,200,268901
Volkswagen,Golf 2.0,2016,88300,Diesel,150,17990
Mercedes-Benz,C 180,2015,94403,Benzin,156,18990
CUPRA,Leon Cupra,,1,Benzin,150,299951
Jeep,Compass Upland,2023,7165,Benzin,131,249801
BMW,X5 M,2022,53900,Benzin,530,625001
Ford,EcoSport 1.0,2019,48831,Benzin,125,11960
Ford,Tourneo Courier,2024,100,Benzin,125,234401
smart,#5 #5,2025,8000,Elektro,646,618801
BMW,X2 ParkAssist,2022,59538,Benzin,220,229991
Kia,Sorento Platinum,2022,111674,Diesel,201,339801
Peugeot,2008 Allure,2008,38357,Benzin,101,16890
Volkswagen,Taigo 1.0,2022,34610,Benzin,110,174501
BMW,330 e,2022,49986,Benzin,252,339901
BMW,220 220i,2019,59987,Benzin,192,23990
SEAT,Leon Sportstourer,2022,58587,Diesel,150,209901
Volkswagen,Passat Variant,2022,54495,Diesel,200,295001
Ford,Puma Titanium,2022,59540,Benzin,125,169901
SEAT,Arona 1.0,2023,59976,Benzin,110,174901
Volkswagen,Tayron 4Motion,2025,25403,Diesel,193,419501
Mercedes-Benz,C 220,2024,9315,Diesel,197,419991
BMW,530 xD,2022,59701,Diesel,286,449991
BMW,X4 M,2022,69279,Diesel,340,484991
Aixam,City Sport,2019,5114,Diesel,8,11950
CUPRA,Born,2023,25287,Elektro,204,239801
Jeep,Wrangler 2.0,2025,1422,Benzin,272,55210
Peugeot,308 1.2,2021,51953,Benzin,131,109501
Kia,Sportage SPORTAGE,2015,49850,Diesel,184,16990
Peugeot,e-2008 2008,2008,27641,Elektro,156,23290
Skoda,Fabia Fabia,2022,81874,Benzin,80,119501
Citroen,C5 Aircross,2025,100,Benzin,145,279501
MINI,Cooper C,2025,7379,Benzin,156,320861
BMW,i4 eDrive40,2022,33400,Elektro,340,387001
Renault,Captur Techno,2025,4715,Benzin,158,249901
Skoda,Superb Combi,2022,60900,Diesel,150,259501
