brand,model,year,mileage,fuel,transmission,power_ps,price
Subaru,Forester Active,2009,228000,Diesel,,147,3790
MINI,Cooper _S,2012,104299,Benzin,,184,9990
BMW,420 i,2017,98601,Benzin,,184,16800
Volkswagen,Golf 1.6,2002,191520,Benzin,,105,799
Volkswagen,Polo Polo,2005,172000,Benzin,,54,2600
Hyundai,KONA 2WD|AHK|LED,2018,92961,Benzin,,120,10999
MINI,Cooper S,2006,115600,Benzin,,170,7999
Renault,Clio VI,2026,10,Benzin,,158,283901
Fiat,500 500,2021,37991,Benzin,,69,10990
Audi,A3 1.2,2012,127181,Benzin,,105,7950
Citroen,C3 Picasso,2013,155439,Diesel,,114,4890
Peugeot,Expert Kasten,2011,198565,Diesel,,120,2999
Audi,A2 1.4,2003,183380,Benzin,,75,2950
Mitsubishi,Space Star,2019,122000,Benzin,,70,4800
Renault,Twingo Techno,2023,20160,Elektro,,82,100001
Mercedes-Benz,CLA 200,2025,8000,Benzin,,163,369901
BMW,328 i,2013,125000,Benzin,,245,13690
Opel,Crossland X,2017,89900,Benzin,,130,9910
Audi,Q4 e-tron,2022,48950,Elektro,,170,209901
Volvo,XC60 Momentum,2015,150000,Diesel,,190,14500
Peugeot,508 Sw,2012,100000,Benzin,,156,7950
Jaguar,XJ 2.7D,2009,105983,Diesel,,207,16999
Hyundai,iX55 Premium,2011,280000,Diesel,,239,4888
Audi,A6 Av.,2018,145400,Diesel,,190,21990
Citroen,C3 Feel,2022,23823,Benzin,,82,108501
Fiat,"500X Lounge,54TKM,Xenon,Navi",2018,54631,Benzin,,140,11111
Ford,Kuga 1.5,2017,62299,Benzin,,150,13910
Volkswagen,Polo Comfortline,2018,138000,Benzin,,95,11997
BMW,320 d,2020,185800,Diesel,,190,165801
BMW,318 d,2015,240530,Diesel,,143,6980
Audi,A3 S,2023,71147,Benzin,,110,198501
BMW,120 d,2013,213000,Diesel,,184,6990
BMW,X2 xD25e,2022,41783,Benzin,,220,224991
Ford,Fiesta 5-Türer,2015,126656,Benzin,,101,4750
MINI,One Klima+PDC+Sitzheizung+Bluetooth,2019,57829,Benzin,,102,13900
SEAT,Alhambra Style,2021,104824,Benzin,,150,189801
BMW,X6 xDrive,2016,187000,Benzin,,449,21488
Volkswagen,Golf VII,2014,123850,Benzin,,86,7990
Opel,Adam Adam,2017,193000,Benzin,,87,4550
Hyundai,i10 Style,2013,146000,Benzin,,87,3950
Opel,Corsa F,2023,24750,Benzin,,101,146001
Mazda,6 Exclusive-Line,2019,157540,Diesel,,150,124501
Peugeot,307 CC,2005,143600,Benzin,,140,2290
Audi,A1 Sportback,2017,93000,Benzin,Automatik,95,13990
Opel,Karl Excite,2018,47693,Benzin,,73,7990
Mitsubishi,Space Star,2019,79895,Benzin,,80,7950
Volvo,V60 D2,2014,229979,Diesel,,114,6850
MG,ZS EV,2021,41405,Elektro,,143,12450
Citroen,C4 Feel,2023,18791,Benzin,,131,159501
Kia,Rio 1.4,2027,88000,Benzin,,97,2950
MINI,Cooper SE,2022,33372,Elektro,,184,189001
Mercedes-Benz,CLC Automatik,2001,144000,Benzin,Automatik,129,3500
Audi,Q3 basis,2017,160000,Diesel,,150,14900
Citroen,C3 1.4,2008,95400,Benzin,,88,2490
Volkswagen,Tiguan Allspace,2023,129327,Diesel,,150,234601
Dacia,Spring Electric,2025,7942,Elektro,,65,14990
Renault,Clio 5,2022,19627,Benzin,,91,132801
Citroen,C1 VTi,2017,15600,Benzin,,69,129901
